date, pm25, pm10, o3, no2, co
2018/2/16, 118, 109, 58, 74, 52
2018/2/17, 136, 106, 58, 69, 39
2018/2/18, 145, 98, 16, 72, 69
2018/2/19, 145, 114, 23, 70, 76
2018/2/20, 186, 124, 28, 60, 78
2018/2/21, 224, 129, 37, 48, 73
2018/2/22, 242, 126, 48, 50, 68
2018/2/23, 232, 120, 42, 71, 62
2018/2/24, 209, 129, 42, 58, 66
2018/2/25, 243, 134, 55, 48, 71
2018/2/26, 263, 124, 56, 63, 65
2018/2/27, 223, 126, 36, 53, 61
2018/2/28, 233, 124, 21, 57, 58
2018/3/1, 227, 122, 20, 62, 52
2018/3/2, 218, 125, 14, 58, 46
2018/3/3, 227, 115, 14, 55, 43
2018/3/4, 189, 107, 46, 57, 50
2018/3/5, 165, 117, 44, 62, 57
2018/3/6, 200, 130, 38, 60, 56
2018/3/7, 245, 118, 65, 81, 50
2018/3/8, 200, 108, 65, 94, 52
2018/3/9, 164, 115, 44, 67, 51
2018/3/10, 189, 119, 42, 64, 39
2018/3/11, 202, 112, 74, 60, 39
2018/3/12, 179, 120, 74, 70, 47
2018/3/13, 207, 123, 12, 39, 47
2018/3/14, 216, 115, 124, 42, 41
2018/3/15, 186, 107, 124, 41, 39
2018/3/16, 162, 109, 90, 34, 39
2018/3/17, 170, 117, 33, 49, 39
2018/3/18, 203, 105, 48, 63, 40
2018/3/19, 161, 90, 71, 77, 36
2018/3/20, 116, 74, 68, 68, 35
2018/3/21, 88, 70, 49, 70, 53
2018/3/22, 84, 83, 54, 80, 46
2018/3/23, 101, 101, 54, 77, 46
2018/3/24, 153, 103, 36, 54, 48
2018/3/25, 154, 116, 22, 71, 61
2018/3/26, 196, 123, 20, 61, 59
2018/3/27, 219, 106, 28, 39, 57
2018/3/28, 160, 83, 30, 40, 51
2018/3/29, 104, 75, 34, 45, 44
2018/3/30, 90, 79, 34, , 42
2018/3/31, 94, 79, 50, 103, 38
2017/10/1, 46, 46, 44, 19, 64
