date, pm25, pm10, o3, no2, co
2020/4/22, 137, 69, 28, 8, 
2020/4/23, 118, 75, 36, 8, 
2020/4/24, 143, 55, 32, 8, 
2020/4/25, 95, 57, 23, 6, 
2020/4/26, 94, 46, 36, 5, 
2020/4/27, 91, 73, 38, 6, 
2020/4/28, 124, 73, 52, 7, 
2020/4/29, 125, 70, 40, 9, 
2020/4/30, 117, 79, 44, 8, 
2020/5/1, 132, 61, 36, 6, 
2020/5/2, 122, 54, 30, 7, 
2020/5/3, 94, 71, 37, 6, 
2020/5/4, 131, 73, 37, 8, 
2020/5/5, 126, 77, 38, 8, 
2020/5/6, 102, 72, 42, 7, 
2020/5/7, 119, 72, 47, 8, 
2020/5/8, 129, 68, 39, 8, 
2020/5/9, 117, , , , 
2020/5/20, 77, 89, 43, 8, 16
2020/5/21, 109, 123, 55, 11, 22
2020/5/22, 168, 108, 51, 7, 20
2020/5/23, 147, 114, 61, 5, 18
2020/5/24, 141, 89, 44, 7, 18
2020/5/25, 131, 91, 39, 9, 18
2020/5/26, 120, 89, 67, 4, 17
2020/5/27, 120, 112, 37, 4, 16
2020/5/28, 100, 49, 33, 3, 15
2020/5/29, 78, 19, 37, 2, 15
2020/5/30, 71, , 22, 4, 16
2020/5/31, 80, 65, 42, 4, 16
2020/6/1, 114, 61, 21, 4, 14
2020/6/2, 123, 85, 36, 6, 15
2020/6/3, 147, 89, 33, 6, 16
2020/6/4, 144, 62, 17, 3, 14
2020/6/5, 126, 54, 18, 3, 13
2020/6/6, 99, 56, 15, 3, 13
2020/6/7, 110, 68, 18, 4, 14
2020/6/8, 131, 84, 20, 5, 15
2020/6/9, 155, 94, 26, 5, 15
2020/6/10, 146, 87, 29, 3, 14
2020/6/11, 135, 86, 31, 4, 14
2020/6/12, 153, 89, 24, 4, 15
2020/6/13, 142, 96, 25, 5, 15
2020/6/14, 156, 81, 30, 4, 14
2020/6/15, 137, 64, 30, 3, 13
2020/6/16, 108, 58, 28, 1, 13
2020/6/17, 105, 61, 32, 2, 13
2020/6/18, 120, 100, 29, 3, 14
2020/6/19, 131, 59, 12, 3, 13
